"and",'join",#d18b6f",
"and",'join",#23813e",
"and",'join",#744b9c",
"and",'join",#bf1faa",
"and",'join",#708db2",
"or",'join",#6716c7",
"or",'join",#768ec6",
"or",'join",#cdd622",
"or",'join",#3a1fb8",
"or",'join",#f191ee",
"but",'join",#1e1cf1",
"but",'join",#1581f5",
"but",'join",#2cff32",
"but",'join",#333736",
"but",'join",#4064cd",
"it's priced according to demand - if demand is low, it's cheap",'Uber",#eb468d",
"you can't get what you want at the time you want it at the price you want it",'Uber",#8dde50",
"it has off-peak pricing",'Uber",#3f5553",
"it's rendered locally",'Uber",#cd23f7",
"it has a variable pricing model",'Uber",#4a1b7d",
"sometimes it's free (or very cheap)",'Uber",#7e553e",
"restricted choice",'Uber",#289b22",
"there are fake ones on the map",'Uber",#981108",
"it rates you!",'Uber",#d4339d",
"it costs more when it rains",'Uber",#04dd85",
"you are stuck even if it's terrible",'Uber",#a3e1a1",
"anyone can make it",'Uber",#b75aa5",
"you don't know how much it's going to cost at the start",'Uber",#969eb7",
"incumbents object to it",'Uber",#fd90ae",
"it's cheaper than a black cab",'Uber",#f5b197",
"it works wherever you are (as long as you're in London)",'Uber",#2fe4d2",
"it gives you refreshments",'Uber",#bf4a35",
"it costs more when more people want it",'Uber",#7de519",
"it's a status symbol",'A pen",#f5c4dd",
"you can get rubbish free ones",'A pen",#590259",
"it's utilitarian",'Trainers",#73c49a",
"it wears out (sometimes)",'Trainers",#901234",
"it's collectable",'Trainers",#fe34d1",
"the brand is important",'Trainers",#ddc063",
"it's informal",'Trainers",#807cd9",
"people have loads of them",'Trainers",#7c5a3a",
"it's constantly new",'Trainers",#1431a8",
"people have brand loyalty",'Trainers",#82b40b",
"sometimes new ones are great",'Trainers",#ed1583",
"it's retro",'Trainers",#6f18c9",
"it's in fashion",'Trainers",#1a8140",
"it takes a long time to cultivate",'Garden",#826286",
"it's seasonal",'Garden",#970f4a",
"it gets choked with weeds unless you tidy it up",'Garden",#d49c92",
"it's as small as a window box",'Garden",#95228f",
